iter	Passed	Remaining
405	6902	10099
406	6918	10080
407	6932	10059
408	6948	10040
409	6962	10018
410	6982	10005
411	6994	9981
412	7009	9961
413	7025	9944
414	7039	9923
415	7054	9903
416	7067	9881
417	7081	9859
418	7096	9840
419	7117	9828
420	7133	9810
421	7145	9787
422	7159	9766
423	7173	9745
424	7187	9724
425	7203	9706
426	7218	9687
427	7231	9664
428	7244	9642
429	7258	9622
430	7272	9601
431	7285	9579
432	7300	9559
433	7319	9545
434	7336	9528
435	7350	9507
436	7363	9487
437	7378	9467
438	7392	9447
439	7406	9426
440	7419	9405
441	7434	9385
442	7448	9364
443	7462	9345
444	7479	9328
445	7494	9309
446	7510	9290
447	7525	9272
448	7544	9258
449	7559	9239
450	7570	9215
451	7583	9193
452	7595	9171
453	7608	9150
454	7621	9128
455	7634	9108
456	7647	9087
457	7661	9066
458	7676	9048
459	7691	9028
460	7705	9009
461	7722	8992
462	7738	8975
463	7755	8958
464	7768	8938
465	7783	8919
466	7797	8899
467	7811	8880
468	7825	8859
469	7840	8841
470	7853	8820
471	7867	8800
472	7879	8778
473	7893	8759
474	7908	8740
475	7922	8721
476	7937	8703
477	7957	8689
478	7973	8672
479	7986	8651
480	8001	8633
481	8012	8610
482	8025	8590
483	8039	8571
484	8051	8549
485	8065	8530
486	8077	8508
487	8091	8489
488	8108	8473
489	8124	8456
490	8138	8436
491	8156	8421
492	8168	8400
493	8181	8380
494	8194	8359
495	8212	8344
496	8228	8327
497	8241	8308
498	8255	8288
499	8271	8271
500	8283	8250
501	8295	8229
502	8308	8209
503	8322	8189
504	8338	8173
505	8355	8157
506	8370	8139
507	8384	8120
508	8398	8101
509	8412	8082
510	8424	8061
511	8438	8042
512	8452	8023
513	8466	8005
514	8480	7986
515	8493	7966
516	8508	7948
517	8519	7927
518	8534	7909
519	8550	7892
520	8570	7879
521	8584	7860
522	8599	7843
523	8614	7824
524	8629	7807
525	8641	7787
526	8654	7767
527	8668	7749
528	8682	7730
529	8695	7711
530	8710	7693
531	8723	7674
532	8737	7655
533	8752	7637
534	8769	7621
535	8787	7606
536	8804	7591
537	8818	7572
538	8831	7553
539	8844	7534
540	8856	7514
541	8869	7495
542	8885	7477
543	8902	7462
544	8917	7445
545	8930	7425
546	8944	7407
547	8960	7390
548	8980	7377
549	8995	7360
550	9010	7342
551	9023	7323
552	9037	7304
553	9049	7285
554	9062	7266
555	9076	7248
556	9090	7230
557	9104	7211
558	9116	7191
559	9129	7173
560	9144	7155
561	9160	7139
562	9181	7126
563	9198	7110
564	9211	7092
565	9224	7073
566	9237	7054
567	9249	7034
568	9260	7014
569	9273	6995
570	9289	6979
571	9304	6961
572	9319	6944
573	9331	6925
574	9344	6906
575	9361	6891
576	9378	6875
577	9397	6861
578	9410	6842
579	9424	6824
580	9438	6806
581	9452	6788
582	9466	6771
583	9479	6752
584	9493	6734
585	9506	6716
586	9519	6697
587	9533	6679
588	9546	6661
589	9561	6644
590	9576	6627
591	9594	6612
592	9607	6593
593	9620	6575
594	9633	6557
595	9647	6539
596	9659	6520
597	9673	6503
598	9690	6487
599	9704	6469
600	9717	6451
601	9731	6433
602	9743	6415
603	9757	6397
604	9772	6380
605	9793	6367
606	9806	6349
607	9820	6331
608	9835	6314
609	9849	6297
610	9863	6279
611	9877	6262
612	9891	6244
613	9905	6226
614	9918	6209
615	9935	6193
616	9949	6176
617	9962	6158
618	9977	6141
619	9998	6127
620	10013	6111
621	10026	6093
622	10038	6074
623	10051	6056
624	10065	6039
625	10079	6021
626	10095	6005
627	10108	5988
628	10121	5970
629	10135	5952
630	10148	5934
631	10160	5916
632	10173	5898
633	10188	5881
634	10206	5866
635	10223	5851
636	10237	5833
637	10250	5815
638	10263	5798
639	10277	5780
640	10289	5762
641	10303	5745
642	10317	5728
643	10330	5710
644	10345	5693
645	10359	5676
646	10372	5659
647	10388	5643
648	10409	5629
649	10424	5613
650	10437	5595
651	10450	5578
652	10466	5561
653	10480	5544
654	10493	5527
655	10509	5510
656	10521	5492
657	10532	5474
658	10547	5457
659	10560	5440
660	10573	5422
661	10586	5405
662	10601	5388
663	10618	5373
664	10634	5357
665	10647	5339
666	10661	5322
667	10678	5307
668	10693	5290
669	10707	5273
670	10723	5257
671	10734	5239
672	10746	5221
673	10761	5205
674	10777	5189
675	10790	5171
676	10805	5155
677	10824	5141
678	10839	5124
679	10854	5107
680	10867	5090
681	10883	5074
682	10896	5057
683	10909	5040
684	10923	5023
685	10936	5005
686	10949	4988
687	10964	4972
688	10980	4956
689	10993	4939
690	11009	4923
691	11025	4907
692	11043	4892
693	11057	4875
694	11075	4860
695	11090	4843
696	11104	4827
697	11119	4811
698	11131	4793
699	11144	4776
700	11159	4759
701	11176	4744
702	11190	4727
703	11203	4710
704	11219	4694
705	11237	4679
706	11252	4663
707	11266	4646
708	11282	4630
709	11297	4614
710	11309	4596
711	11322	4580
712	11337	4563
713	11351	4546
714	11367	4531
715	11381	4514
716	11394	4497
717	11406	4479
718	11420	4463
719	11434	4446
720	11452	4431
721	11469	4416
722	11483	4399
723	11496	4382
724	11509	4365
725	11521	4348
726	11535	4331
727	11549	4315
728	11563	4298
729	11577	4282
730	11590	4265
731	11603	4248
732	11617	4231
733	11632	4215
734	11647	4199
735	11666	4184
736	11680	4168
737	11691	4150
738	11704	4133
739	11721	4118
740	11734	4101
741	11747	4084
742	11760	4067
743	11775	4051
744	11788	4034
745	11802	4018
746	11816	4001
747	11828	3984
748	11842	3968
749	11861	3953
750	11876	3937
751	11890	3921
752	11902	3904
753	11918	3888
754	11933	3872
755	11948	3856
756	11963	3840
757	11976	3823
758	11989	3806
759	12000	3789
760	12013	3772
761	12025	3756
762	12039	3739
763	12055	3723
764	12075	3709
765	12090	3693
766	12102	3676
767	12118	3660
768	12130	3643
769	12144	3627
770	12157	3611
771	12173	3595
772	12186	3578
773	12199	3562
774	12215	3546
775	12229	3530
776	12242	3513
777	12255	3497
778	12273	3481
779	12289	3466
780	12305	3450
781	12316	3433
782	12331	3417
783	12346	3401
784	12361	3385
785	12374	3369
786	12388	3352
787	12401	3336
788	12414	3319
789	12428	3303
790	12441	3287
791	12454	3271
792	12471	3255
793	12488	3240
794	12505	3224
795	12521	3208
796	12534	3192
797	12548	3176
798	12561	3160
799	12575	3143
800	12586	3126
801	12600	3110
802	12613	3094
803	12628	3078
804	12643	3062
805	12657	3046
806	12674	3031
807	12690	3015
808	12711	3001
809	12728	2985
810	12741	2969
811	12755	2953
812	12769	2937
813	12783	2921
814	12798	2905
815	12811	2888
816	12826	2872
817	12840	2856
818	12854	2840
819	12870	2825
820	12884	2809
821	12903	2794
822	12918	2778
823	12931	2762
824	12944	2745
825	12963	2730
826	12977	2714
827	12991	2698
828	13005	2682
829	13016	2666
830	13030	2650
831	13045	2634
832	13059	2618
833	13072	2601
834	13087	2586
835	13105	2570
836	13122	2555
837	13138	2539
838	13150	2523
839	13164	2507
840	13178	2491
841	13192	2475
842	13204	2459
843	13219	2443
844	13231	2427
845	13245	2411
846	13259	2395
847	13274	2379
848	13289	2363
849	13305	2348
850	13321	2332
851	13334	2316
852	13346	2299
853	13360	2284
854	13375	2268
855	13388	2252
856	13402	2236
857	13415	2220
858	13429	2204
859	13442	2188
860	13458	2172
861	13472	2156
862	13485	2140
863	13500	2125
864	13515	2109
865	13533	2094
866	13545	2077
867	13561	2062
868	13576	2046
869	13589	2030
870	13603	2014
871	13616	1998
872	13627	1982
873	13641	1966
874	13656	1950
875	13670	1935
876	13683	1919
877	13697	1903
878	13713	1887
879	13732	1872
880	13745	1856
881	13760	1841
882	13775	1825
883	13788	1809
884	13800	1793
885	13815	1777
886	13828	1761
887	13841	1745
888	13857	1730
889	13873	1714
890	13890	1699
891	13906	1683
892	13925	1668
893	13940	1652
894	13958	1637
895	13974	1622
896	13989	1606
897	14007	1591
898	14028	1576
899	14048	1560
900	14061	1545
901	14076	1529
902	14100	1514
903	14115	1498
904	14156	1485
905	14203	1473
906	14240	1460
907	14266	1445
908	14305	1432
909	14330	1417
910	14349	1401
911	14372	1386
912	14394	1371
913	14413	1356
914	14430	1340
915	14443	1324
916	14458	1308
917	14474	1292
918	14490	1277
919	14505	1261
920	14520	1245
921	14538	1229
922	14553	1214
923	14570	1198
924	14586	1182
925	14607	1167
926	14624	1151
927	14641	1135
928	14658	1120
929	14675	1104
930	14689	1088
931	14705	1072
932	14721	1057
933	14738	1041
934	14753	1025
935	14770	1009
936	14785	994
937	14803	978
938	14821	962
939	14838	947
940	14854	931
941	14869	915
942	14884	899
943	14897	883
944	14911	867
945	14926	852
946	14939	836
947	14952	820
948	14970	804
949	14984	788
950	15000	772
951	15016	757
952	15033	741
953	15044	725
954	15058	709
955	15072	693
956	15085	677
957	15098	661
958	15113	646
959	15128	630
960	15140	614
961	15152	598
962	15168	582
963	15179	566
964	15195	551
965	15211	535
966	15229	519
967	15245	503
968	15261	488
969	15274	472
970	15286	456
971	15298	440
972	15310	424
973	15323	409
974	15335	393
975	15350	377
976	15365	361
977	15380	345
978	15394	330
979	15409	314
980	15423	298
981	15440	283
982	15464	267
983	15487	251
984	15500	236
985	15513	220
986	15526	204
987	15538	188
988	15550	172
989	15563	157
990	15577	141
991	15590	125
992	15603	109
993	15616	94
994	15635	78
995	15652	62
996	15665	47
997	15679	31
998	15691	15
999	15708	0
